State, VeteranPop
AL,375875
AZ,483314
AR,226891
CA,1711106
CO,396850
CT,177794
DE,67085
DC,33047
FL,1472665
GA,696653
ID,120178
IL,619860
IN,415927
IA,205008
KS,202728
KY,297727
LA,297009
ME,116345
MD,385905
MA,315252
MI,544613
MN,326268
MS,204537
MO,432226
MT,92231
NE,135900
NV,216745
NH,101834
NJ,338814
NM,155841
NY,783880
NC,737176
ND,59116
OH,751831
OK,307203
OR,289201
PA,781291
RI,64056
SC,390687
SD,71652
TN,465316
TX,1592385
UT,134591
VT,44035
VI,3487
VA,741300
WA,545227
WV,145036
WI,359557
WY,49931
